Key,English,French
KEY_ANU_ENDING1_01,"In the end, it wasn't her powers or her followers that allowed us to win. ","Au final, ce ne fut pas ses pouvoirs ni ses adeptes qui nous permirent de gagner."
KEY_ANU_ENDING1_02,"It was her humanity. An alien god spoke to her in her mind, ","Mais son humanité. Une déesse extraterrestre lui parla dans son esprit,"
KEY_ANU_ENDING1_03,and instead of being dominated or obliterated... she tricked him.,et au lieu de se faire dominer ou oblitérer... elle la dupa.
KEY_ANU_ENDING2_01,"By the time he realized what she was doing, it was too late. ","Quand elle réalisa ce qu'elle faisait, il était trop tard."
KEY_ANU_ENDING2_02,"She'd stolen his knowledge, cut him off from his armies on Earth. ",Elle lui avait volé ses connaissances et avait coupé ses liens avec ses armées sur Terre.
KEY_ANU_ENDING2_03,"He was alone on his dark planet, and humanity was saved.","Elle était seule sur sa planète sombre, et l'humanité était sauvée."
KEY_ANU_ENDING3_01,"The war wasn't over, of course. It's never that simple. ","La guerre n'était pas terminée, bien entendu. Ce n'est jamais si simple."
KEY_ANU_ENDING3_02,"There were still those who wanted to go back to how things were before. ",Il restait encore ceux qui voulaient revenir au monde d'avant.
KEY_ANU_ENDING3_03,To make the same mistakes again. But the Exalted would not allow it.,Pour refaire les mêmes erreurs. Mais l'Exaltée ne le permettrait pas.
KEY_ANU_ENDING4_01,"New Jericho fought to the end. She respected that. ",La Nouvelle-Jéricho se battit jusqu'à la fin. Elle respecta cet effort.
KEY_ANU_ENDING4_02,"Tobias West and his people believed in their principles... and died for them. ",Tobias West et son peuple croyaient en leurs principes... et moururent pour eux.
KEY_ANU_ENDING4_03,With them died the last fragment of the old world.,Avec eux s'éteignit le dernier fragment de l'ancien monde.
KEY_ANU_ENDING5_01,"Synedrion continued to exist. This was not the future they had dreamed of, ","Le Synédrion continua d'exister. Ce n'était pas l'avenir dont ses adeptes avaient rêvé,"
KEY_ANU_ENDING5_02,"but somewhere in this changing world there was space for their ideas. ","mais quelque part dans ce monde en évolution, il y avait de la place pour leurs idées."
KEY_ANU_ENDING5_03,"They would contribute what they could, and hope that conflict could be avoided. ",Ils y apporteraient ce qu'ils pourraient et espèreraient pouvoir éviter un conflit.
KEY_ANU_ENDING5_04,"Like everyone, they'd had enough of war.","Comme tout le monde, ils en avaient assez de la guerre."
KEY_ANU_ENDING6_01,"Humanity began to adapt and evolve. ",L'humanité commença à s'adapter et à évoluer.
KEY_ANU_ENDING6_02,"No longer bound by the chains of an imperfect biology, human beings finally flourished. ","N'étant plus liés par les chaînes d'une biologie imparfaite, les êtres humains finirent par prospérer."
KEY_ANU_ENDING6_03,"The belief in the Dead God and the hierarchies of the Disciples fell away. ",La foi en ce Dieu défunt et les hiérarchies des Disciples disparurent.
KEY_ANU_ENDING6_04,"It was no longer necessary to believe in some distant deity... ",Il n'était plus nécessaire de croire en une divinité lointaine...
KEY_ANU_ENDING6_05,when the Exalted walked among us.,lorsque l'Exaltée se trouvait parmi nous.
KEY_ANU_ENDING7_01,"As for the Phoenix Project... we went back to the shadows, for a while. ","Quand au Projet Phoenix... nous sommes retournés dans l'ombre, pendant un certain temps."
KEY_ANU_ENDING7_02,"We knew the war wasn't over. Up there, in celestial darkness, ","Nous savions que la guerre n'était pas finie. Là-haut, dans l'obscurité céleste,"
KEY_ANU_ENDING7_03,"something ancient and powerful still hungered for our planet. ",quelque chose d'ancien et de puissant avait encore une soif insatiable de contrôler notre planète.
KEY_ANU_ENDING7_04,But next time... next time we'd be ready.,"Mais la prochaine fois... la prochaine fois, nous serions prêts."
KEY_ANU_INTRO1_01,The Disciples of Anu were a mystery.,Les Disciples d'Anu étaient un mystère.
KEY_ANU_INTRO2_01,"Where others saw devastation, they saw hope. ","Là où d'autres ne voyaient que dévastation, ils voyaient de l'espoir."
KEY_ANU_INTRO2_02,"Where others saw the end of the world, they saw a new beginning.","Là où d'autres voyaient la fin du monde, ils voyaient un nouveau commencement."
KEY_ANU_INTRO3_01,"Their leader called herself the Exalted, and she claimed to believe in humanity. ","Leur dirigeante se faisait appeler l'Exaltée, et prétendait croire en l'humanité."
KEY_ANU_INTRO3_02,"She preached that the human soul was perfect, ","Elle proclamait que l'âme humaine était parfaite,"
KEY_ANU_INTRO3_03,"that the root of our problems was our insufficient evolution. ","que notre maigre évolution était la cause de nos maux. "
KEY_ANU_INTRO3_04,"The Pandoravirus was a threat, but it was also an opportunity to change ourselves. ","Le Pandoravirus était une menace, mais c'était aussi une occasion pour nous de changer."
KEY_ANU_INTRO3_05,To become better humans. To mutate.,De devenir de meilleurs humains. De muter.
KEY_ANU_INTRO4_01,"We knew that humanity needed to adapt. There was no other way to survive. ",Nous savions que l'humanité devait s'adapter. C'était notre seule chance de survie.
KEY_ANU_INTRO4_02,"The Disciples offered a solution... but what was their endgame? ",Les Disciples nous ont offert une solution... mais à quelle fin ?
KEY_ANU_INTRO4_03,There was something beyond their hierarchies and their rituals.,Leurs hiérarchies et leurs rituels cachaient quelque chose.
KEY_ANU_INTRO5_01,The Exalted had a secret.,L'Exaltée avait un secret.
KEY_BASELOST_ENDING1_01,"When our last base fell, we knew we'd lost the war. ","Lorsque notre dernière base tomba, nous savions que nous avions perdu la guerre."
KEY_BASELOST_ENDING1_02,"The Phoenix Project was doomed, and the Earth... was lost.","Le Projet Phoenix était voué à l'échec, et la Terre... était perdue."
KEY_BASELOST_ENDING2_01,"But for the Earth that was, and all the Earths that could have been, ","Mais pour la Terre qui fut, et pour toutes les Terres qui auraient pu être,"
KEY_BASELOST_ENDING2_02,"for our friends and families lost to the Mist, ","pour nos amis et nos familles emportés par la Brume,"
KEY_BASELOST_ENDING2_03,"for all our dreams and hopes that would never come true, we would keep fighting. ","pour tous nos rêves et espoirs qui ne se réaliseraient jamais, nous continuerions à nous battre."
KEY_BASELOST_ENDING2_04,To the end.,Jusqu'à la fin.
KEY_DEFEATPALACE_ENDING1_01,"When the Yuggothian Entity came to Earth, we knew we'd lost the war. ","Lorsque l'Entité yuggothienne arriva sur Terre, nous savions que nous avions perdu la guerre."
KEY_DEFEATPALACE_ENDING1_02,"It couldn't be stopped. It was a god, and our planet... was gone.","Elle était imparable. C'était une déesse, et notre planète... avait disparu."
KEY_DEFEATPALACE_ENDING2_01,"But for the Earth that was, and all the Earths that could have been, ","Mais pour la Terre qui fut, et pour toutes les Terres qui auraient pu être,"
KEY_DEFEATPALACE_ENDING2_02,"for our friends and families lost to the Mist, ","pour nos amis et nos familles emportés par la Brume,"
KEY_DEFEATPALACE_ENDING2_03,"for all our dreams and hopes that would never come true, we would keep fighting. ","pour tous nos rêves et espoirs qui ne se réaliseraient jamais, nous continuerions à nous battre."
KEY_DEFEATPALACE_ENDING2_04,To the end.,Jusqu'à la fin.
KEY_INTROVOICE10_01,"The mist is gone, but the city is dead. The roads are broken. ","La brume a disparu, mais la ville est morte. Les routes sont détruites."
KEY_INTROVOICE10_02,You must join one of the havens. Do not attempt to survive on your own.,Vous devez rejoindre un des refuges. N'essayez pas de survivre seul.
KEY_INTROVOICE1_01,In what may be the hottest year in history,"Ce qui pourrait être l'année la plus chaude de l'histoire,"
KEY_INTROVOICE1_02,scientists have recorded radical changes to the permafrost in Antarctica,des changements importants ont été enregistrés dans le permafrost en Antarctique.
KEY_INTROVOICE2_01,"The Pandoravirus, a so-called giant virus with the largest genome size ever recorded","Le Pandoravirus, un virus dit géant dont le génome serait le plus grand jamais enregistré."
KEY_INTROVOICE3_01,"The crabs also display increased aggression, even towards larger predators","Les crabes font également preuve d'une grande agressivité, même à l'égard de plus grands prédateurs."
KEY_INTROVOICE4_01,A striking new weather anomaly has claimed many coastlines around the world,Une nouvelle anomalie météorologique a fait de nombreuses victimes sur les côtes du monde entier.
KEY_INTROVOICE4_02,NASA is examining these clouds to figure out,La NASA étudie ces nuages avec beaucoup d'attention.
KEY_INTROVOICE5_01,We’ve detected large amounts of an organic composite,Nous avons découvert de grandes quantités de composite organique.
KEY_INTROVOICE5_02,"So far, the sample doesn’t match any of the DNA records we’ve compared it with","Jusqu'à présent, nous n'avons pu établir de correspondance entre cet échantillon d'ADN et nos bases de données."
KEY_INTROVOICE6_01,We all saw it! Those creatures coming out of the sea on that oil rig!,On l'a tous vu ! Ces créatures sont sorties de la mer pour attaquer cette plateforme pétrolière !
KEY_INTROVOICE7_01,The President has declared a national emergency to deal with the ongoing ecological crisis,Le Président a déclaré l'urgence nationale pour faire face à la crise écologique en cours.
KEY_INTROVOICE8_01,It’s obvious that what we’re dealing with here is a biological weapon,Il est évident que nous avons affaire à une arme biologique.
KEY_INTROVOICE8_02,"As of Today, WE ARE AT WAR!","À partir d'aujourd'hui, NOUS SOMMES EN GUERRE !"
KEY_INTROVOICE9_01,It’s taking their minds! I saw them walk right into the sea,Ça contrôle leurs esprits ! Je les ai vus foncer droit dans la mer.
KEY_INTROVOICE9_02,Thousands of people! Thousands!,Des milliers de personnes ! Des milliers !
KEY_NJ_ENDING1_01,"Wars always have winners and losers. This was our moment to savor. ","Dans chaque guerre, il y a des gagnants et des perdants. Nous nous devions de savourer ce moment."
KEY_NJ_ENDING1_02,"Victory against overwhelming odds, ","Les obstacles paraissaient insurmontables, et pourtant la victoire était nôtre."
KEY_NJ_ENDING1_03,against an incursion that threatened to wipe out our species and our world.,Nous avions déjoué une incursion qui menaçait d'exterminer notre espèce et notre planète.
KEY_NJ_ENDING2_01,"Human ingenuity got a targeting beacon planted on the Receptacle. ",L'ingéniosité humaine avait implanté une balise de ciblage sur le Réceptacle.
KEY_NJ_ENDING2_02,"When West gave the word, we activated the satellite network. ","Lorsque West a donné le signal, nous avons activé le réseau satellite."
KEY_NJ_ENDING2_03,We hit the Palace with everything we had.,Nous avons attaqué le Palais de toutes nos forces.
KEY_NJ_ENDING3_01,"After that, the war became one we could win. ","Après ça, nous avions soudain une chance de gagner la guerre."
KEY_NJ_ENDING3_02,"New Jericho and the Phoenix Project in alliance, fighting to save humanity, ","Une alliance entre la Nouvelle-Jéricho et le Projet Phoenix, vouée à se battre pour sauver l'humanité,"
KEY_NJ_ENDING3_03,"inch by inch, reclaiming the land and then the ocean. ",récupérait peu à peu la terre puis l'océan.
KEY_NJ_ENDING3_04,"The enemy fought back, but wildly, incoherently, without strategy. ","L'ennemi a riposté, mais de façon échauffée et incohérente, sans aucune stratégie."
KEY_NJ_ENDING3_05,They were beaten.,Il était vaincu.
KEY_NJ_ENDING4_01,"Next we had to deal with the infected. ","Ensuite, nous avons dû nous occuper des infectés."
KEY_NJ_ENDING4_02,"We rounded up those we couldn’t save and quarantined them in vast camps, ","Nous avons rassemblé ceux que nous ne pouvions pas sauver et les avons placés en quarantaine dans de vastes camps,"
KEY_NJ_ENDING4_03,"far away from the new cities. Anyone who didn’t comply, died. It was the only way. ",loin des nouvelles villes. Ceux qui n'ont pas obtempéré ont été abattus. C'était le seul moyen.
KEY_NJ_ENDING4_04,"Synedrion objected, but in the end they worked with us.","Le Synédrion s'y est opposé, mais il a finalement accepté de coopérer avec nous."
KEY_NJ_ENDING5_01,"The Anu cult resisted us at first, but as the prophecies of their misguided religion failed, they lost hope.","La secte d'Anu nous a tout d'abord résisté, mais alors que les prophéties de sa religion malavisée échouaient, elle finit par perdre espoir."
KEY_NJ_ENDING5_02,"They remain an insurgent threat, but one that we are determined to eliminate. ","Elle présente encore un risque d'insurrection, mais c'est là un risque que nous sommes déterminés à éliminer."
KEY_NJ_ENDING5_03,There is no place for them in this new age.,Elle n'a pas sa place dans cette nouvelle ère.
KEY_NJ_ENDING6_01,Much was achieved by one man’s vision. But one man cannot shoulder the burden of the world.,La vision d'un seul homme a accompli bien des choses. Mais un homme à lui seul ne saurait porter le poids du monde sur ses épaules.
KEY_NJ_ENDING6_02,"After the war, Tobias West forged new alliances and began to build a better system. ","Après la fin de la guerre, Tobias West forgea de nouvelles alliances et entrepris d'ériger un meilleur système."
KEY_NJ_ENDING6_03,"There will be no nations in our future, just one people, humanity, ","Notre avenir ne sera pas fait de nations, mais d'un seul et unique peuple, l'humanité,"
KEY_NJ_ENDING6_04,determined to protect the rights of every individual to live free and in peace.,déterminé à protéger les droits de chaque individu afin que nous puissions vivre dans la paix et la liberté.
KEY_NJ_ENDING7_01,As for the Phoenix Project... we finally had the support we needed. next time we'd be ready.,"Quant au Projet Phoenix... nous avions enfin reçu le soutien dont nous avions besoin. La prochaine fois, nous nous tiendrions prêts."
KEY_NJ_ENDING7_02,"It was time to build, to train, to prepare. Up there, in celestial darkness, ","Il était temps de construire, de s'entraîner, de préparer. Là-haut, dans l'obscurité céleste,"
KEY_NJ_ENDING7_03,something ancient and powerful still hungered for our planet. But next time...,quelque chose d'ancien et de puissant avait encore une soif insatiable de contrôler notre planète.
KEY_NJ_INTRO1_01,"New Jericho was one man's vision, and everything depended on that one man.","La Nouvelle-Jéricho était née de la vision d'un seul homme, et tout reposait sur les épaules de ce dernier."
KEY_NJ_INTRO2_01,"Before the war, Tobias West had been a billionaire. ","Avant la guerre, Tobias West était un milliardaire."
KEY_NJ_INTRO2_02,"An elusive, controversial businessman who denounced war even as he profited from it. ",C'était un homme d'affaires insaisissable et controversé qui dénonçait la guerre alors même qu'il en tirait profit.
KEY_NJ_INTRO2_03,"When the world fell, his empire began to rise.","Lorsque le monde s'est effondré, son empire a entrepris son ascension."
KEY_NJ_INTRO3_01,"Some said he was a genius. A man of principle, dedicated to equality and merit,","Certains ont dit que c'était un génie. Un homme de principe, voué à l'égalité et au mérite,"
KEY_NJ_INTRO3_02,"fighting to preserve the core of human freedom: our will. ",qui se battait pour préserver le noyau de la liberté humaine : notre volonté.
KEY_NJ_INTRO3_03,"They said he had a plan, that he could lead us to victory.","Ils ont dit qu'il avait un plan, qu'il pouvait nous mener à la victoire."
KEY_NJ_INTRO4_01,"Others called him a dictator, a megalomaniac, fearful of infection and obsessed with purity. ","D'autres l'ont traité de dictateur, de mégalomane. Ils l'ont accusé d'avoir peur de l'infection et d'être obsédé par la pureté."
KEY_NJ_INTRO4_02,They said he was willing to do anything to win... no matter the cost.,Ils ont dit qu'il était prêt à tout pour gagner... peu importe le prix à payer.
KEY_NJ_INTRO5_01,"The Phoenix Project needed allies. New Jericho could help us turn the tide. ",Le Projet Phoenix avait besoin d'alliés. La Nouvelle-Jéricho pouvait nous aider à renverser la vapeur.
KEY_NJ_INTRO5_02,But it all depended on one man.,Mais tout reposait entre les mains d'un seul homme.
KEY_PANDORARESEARCH_SYMES1_01,There had always been rumours that maybe the Pandoravirus wasn't from Earth;,"Des rumeurs avaient toujours dit que le Pandoravirus ne venait peut-être pas de la Terre,"
KEY_PANDORARESEARCH_SYMES1_02,"that some alien disease had come down from the stars like a plague from heaven. ","qu'une sorte de maladie extraterrestre était descendue du cosmos, tel un fléau céleste."
KEY_PANDORARESEARCH_SYMES1_03,"But now that we finally had the evidence we needed,","Mais maintenant que nous possédions enfin les preuves dont nous avions besoin,"
KEY_PANDORARESEARCH_SYMES1_04,"we realized the truth was more terrible than that. The Pandoravirus was alien, yes.","nous réalisions que la vérité était bien plus terrible que ça. Oui, le Pandoravirus était d'origine extraterrestre."
KEY_PANDORARESEARCH_SYMES1_05,But it wasn't a disease. It was a bioweapon.,Mais ce n'était pas une maladie. C'était une arme biologique.
KEY_PANDORARESEARCH_SYMES2_01,We were not alone. And whatever was out there... wanted us dead.,"Nous n'étions pas seuls. Et quelque chose, quelque part, voulait nous exterminer."
KEY_PANDORARESEARCH_SYMES3_01,"None of this had deterred Randolph Symes. He'd continued his quest, ","Mais rien de tout ça n'avait fait reculer Randolph Symes. Il avait continué sa quête,"
KEY_PANDORARESEARCH_SYMES3_02,"hoping that whatever his great-grandfather had buried in Oglethorpe University's time vault ",espérant que la chose que son arrière grand-père avait enfoui dans la capsule temporelle de l'Université d'Oglethorpe
KEY_PANDORARESEARCH_SYMES3_03,held the answers he needed. We would have to hope that he was right.,lui apporterait les réponses qu'il cherchait. Nous allions devoir espérer qu'il avait raison.
KEY_PHOENIXFILES_SYMES1_01,Randolph Symes was the last leader of the Phoenix Project.,Randolph Symes était le dernier dirigeant du Projet Phoenix.
KEY_PHOENIXFILES_SYMES1_02,"His great-grandfather had been there when it was founded, ","Son arrière grand-père a assisté à sa naissance,"
KEY_PHOENIXFILES_SYMES1_03,and he was there to witness its end.,et a été témoin de sa chute.
KEY_PHOENIXFILES_SYMES2_01,"When we took back Phoenix Point, we found his notes.","Quand nous avons repris le contrôle de Phoenix Point, nous avons trouvé ses notes."
KEY_PHOENIXFILES_SYMES2_02,"In his final days, as the world collapsed around him, ","Alors que le monde s'était effondré tout autour de lui,"
KEY_PHOENIXFILES_SYMES2_03,he had been working frantically to understand the Pandoravirus.,il avait consacré ses derniers jours à l'étude acharnée du Pandoravirus.
KEY_PHOENIXFILES_SYMES2_04,"Somewhere in the complicated history of the Project,","Quelque part dans l'histoire complexe du Projet,"
KEY_PHOENIXFILES_SYMES2_05,"in decades of missions and investigations, there had to be an answer.","au milieu de décennies de missions et d'enquêtes, une réponse devait forcément se cacher."
KEY_PHOENIXFILES_SYMES3_01,"His notes were damaged, too many of the files corrupted. ","Ses notes étaient endommagées, une trop grande partie des fichiers était corrompue."
KEY_PHOENIXFILES_SYMES3_02,"But perhaps, if we could retrace his steps, we could figure out where his journey had taken him... ","Mais si nous pouvions retracer ses pas, nous pourrions peut-être comprendre où son parcours l'avait mené..."
KEY_PHOENIXFILES_SYMES3_03,and what the answers he had discovered would mean for us.,et ce que les réponses qu'il avait obtenues représenteraient pour nous.
KEY_PP_INTRO1_01,"The Phoenix Project was founded on October 24th, 1945.",Le Projet Phoenix a été fondé le 24 octobre 1945.
KEY_PP_INTRO1_02,The second war to end all wars was over,"La Seconde Guerre mondiale, la guerre qui devait mettre fin à toutes les guerres, était terminée"
KEY_PP_INTRO1_03,"but there were those who understood that we could no longer ",mais il y avait ceux qui comprenaient que nous ne pouvions plus
KEY_PP_INTRO1_04,afford to think in terms of nations and empires.,nous permettre de penser en termes de nations et d'empires.
KEY_PP_INTRO2_01,"For a time, the Phoenix Project successfully navigated the political conflicts of its era. ","Pendant un certain temps, le Projet Phoenix a réussi à naviguer les conflits politiques de son époque."
KEY_PP_INTRO2_02,"That was our Golden Age. Phoenix Project operatives scoured the world for clues. ",C'était notre Âge d'or. Les agents du Projet Phoenix parcouraient le monde entier à la recherche d'indices.
KEY_PP_INTRO2_03,We had bases in two dozen countries. Even the heavens were not off limits.,Nos bases étaient présentes dans plus d'une vingtaine de pays. Notre ambition était sans limite.
KEY_PP_INTRO3_01,"But out there, on the far side of the Moon, began our downfall. ","Mais quelque part, de l'autre côté de la Lune, nous courrions déjà à notre perte."
KEY_PP_INTRO3_02,"The failure of the Phoenix-2 mission exposed us to our enemies in the UN. ",L'échec de la mission Phoenix-2 nous a exposés à nos ennemis de l'ONU.
KEY_PP_INTRO3_03,"Stripped of resources and scattered to the winds, ","Dépouillés de nos ressources et dispersés aux quatre vents,"
KEY_PP_INTRO3_04,we were reduced to a secret... a memory.,nous avons été réduits à un secret... à un souvenir.
KEY_PP_INTRO4_01,"When the Pandoravirus woke up, we should have been the first line of defense. ","Lorsque le Pandoravirus s'est réveillé, nous aurions dû être la première ligne de défense."
KEY_PP_INTRO4_02,"When huge clouds of mist appeared over the sea, when people started vanishing, ","Lorsque les immenses nuages de brume ont recouvert la mer, lorsque les gens ont commencé à disparaître, "
KEY_PP_INTRO4_03,we should have figured out what was going on.,nous aurions dû comprendre ce qui se passait.
KEY_PP_INTRO4_04,"And when those people started coming back, changed, hostile, alien, ","Et lorsque ces gens sont revenus, transformés, hostiles, autres,"
KEY_PP_INTRO4_05,we should have been ready to fight.,nous aurions dû être prêts à nous battre.
KEY_PP_INTRO5_01,But we failed.,Mais nous avons échoué.
KEY_PP_INTRO6_01,"The ecosystem started to change, imperceptibly at first, then faster and faster.","L'écosystème a commencé à changer, d'abord de façon imperceptible, puis de plus en plus vite."
KEY_PP_INTRO6_02,"Three factions arose: New Jericho, trying to restore order and purity; ","Trois factions sont apparues : la Nouvelle-Jéricho, qui souhaite rétablir l'ordre et la pureté ;"
KEY_PP_INTRO6_03,"Synedrion, hoping to build a world without hierarchies; ","le Synédrion, qui espère bâtir un monde dénué de hiérarchies ;"
KEY_PP_INTRO6_04,"and the Disciples of Anu, a new, syncretic religion dedicated to adaptation and biological change.","et les Disciples d'Anu, une nouvelle religion syncrétique vouée à l'adaptation et aux changements biologiques."
KEY_PP_INTRO7_01,"At war with the world and at odds with each other, ","En guerre contre le monde et en conflit les unes contre les autres,"
KEY_PP_INTRO7_02,these factions cannot find a way forward.,ces factions ne peuvent aller de l'avant.
KEY_PP_INTRO7_03,"Now the mist is returning, and armies are rising from the sea. ","À présent, la brume est de retour, et des armées se soulèvent des profondeurs de la mer."
KEY_PP_INTRO7_04,"Without the Phoenix Project, humanity will fall.","Sans le Projet Phoenix, l'humanité n'a aucune chance."
KEY_PP_INTRO8_01,It's time to rise from the ashes.,Il est temps de renaître de nos cendres.
KEY_PX_ENDING1_01,"We had no choice. None of the factions had a viable plan. ",Nous n'avions pas le choix. Aucune faction n'avait de plan valable.
KEY_PX_ENDING1_02,"There was no other way to save the planet and sometimes the ends had to justify the means. ","C'était notre seule chance de sauver la planète, et parfois la fin devait justifier les moyens."
KEY_PX_ENDING1_03,"That's what we told ourselves, anyway.","En tout cas, c'est ce que nous nous sommes dit."
KEY_PX_ENDING2_01,"Within minutes, the Pandoravirus began to die, and its creatures soon followed. ","En quelques minutes, le Pandoravirus commença à s'éteindre, et ses créatures le suivirent rapidement."
KEY_PX_ENDING2_02,"They died by the millions, and soon the rest of us were dying too. ","Elles moururent par millions, puis ce fut notre tour."
KEY_PX_ENDING2_03,Not everyone. Not enough to wipe us out. But too many.,"Certains de nous survécurent. Ce n'était pas assez pour nous exterminer, mais c'était déjà trop."
KEY_PX_ENDING3_01,"The Disciples of Anu collapsed first. ",Les Disciples d'Anu furent les premiers à tomber.
KEY_PX_ENDING3_02,"The Exalted died within 24 hours of the virophage being released, ","L'Exaltée trouva la mort dans les 24 heures qui suivirent la libération du virophage,"
KEY_PX_ENDING3_03,"and without its prophet, the religion fell apart.","et sans sa prophétesse, la religion s'effondra."
KEY_PX_ENDING3_04,The future it had promised was impossible now.,L'avenir qu'elle avait promis n'était plus qu'une chimère.
KEY_PX_ENDING4_01,"Synedrion tried to fight, to develop a vaccine... ","Le Synédrion essaya de se battre, de développer un vaccin..."
